,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
0,"[753, 206, 89, 110]",0.08,0.0,0.01,0.25,0.17,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
1,"[745, 165, 98, 122]",0.16,0.0,0.02,0.01,0.23,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,
2,"[699, 173, 99, 130]",0.19,0.0,0.0,0.02,0.06,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,
3,"[696, 113, 109, 141]",0.03,0.0,0.0,0.0,0.03,0.0,0.94,,,,,,,,,,,,,,,,,,,,,,,,
4,"[664, 90, 124, 160]",0.04,0.0,0.01,0.01,0.05,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,
5,"[669, 102, 128, 157]",0.11,0.0,0.01,0.0,0.09,0.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,
6,"[675, 88, 120, 160]",0.45,0.0,0.01,0.0,0.1,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,
7,"[662, 81, 119, 155]",0.23,0.0,0.01,0.0,0.18,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,
8,"[702, 92, 116, 150]",0.22,0.0,0.01,0.05,0.24,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,
9,"[701, 84, 122, 156]",0.01,0.0,0.0,0.93,0.0,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,
10,"[690, 92, 116, 152]",0.12,0.0,0.07,0.15,0.17,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,
11,"[716, 82, 116, 151]",0.08,0.0,0.01,0.07,0.04,0.0,0.81,,,,,,,,,,,,,,,,,,,,,,,,
12,"[708, 70, 107, 156]",0.03,0.0,0.01,0.39,0.07,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
13,"[713, 82, 111, 155]",0.07,0.0,0.03,0.08,0.2,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,
14,"[723, 76, 120, 156]",0.05,0.0,0.0,0.16,0.03,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,
15,"[726, 80, 118, 155]",0.02,0.0,0.0,0.03,0.03,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,
16,"[645, 113, 110, 146]",0.28,0.0,0.16,0.0,0.49,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,
17,"[687, 113, 99, 130]",0.18,0.0,0.07,0.0,0.44,0.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,
18,"[730, 91, 113, 152]",0.19,0.0,0.05,0.0,0.12,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,
19,"[689, 78, 119, 151]",0.09,0.0,0.0,0.01,0.05,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,
20,"[632, 110, 98, 122]",0.23,0.0,0.12,0.02,0.28,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,
21,"[570, 107, 95, 121]",0.23,0.0,0.01,0.01,0.1,0.0,0.65,"[1122, 189, 87, 102]",0.11,0.0,0.01,0.72,0.02,0.0,0.13,,,,,,,,,,,,,,,,
22,"[994, 182, 84, 105]",0.33,0.0,0.01,0.15,0.16,0.0,0.35,"[484, 111, 89, 109]",0.12,0.0,0.01,0.01,0.13,0.0,0.74,,,,,,,,,,,,,,,,
23,"[869, 183, 86, 101]",0.56,0.0,0.12,0.06,0.12,0.01,0.13,"[365, 116, 86, 110]",0.07,0.0,0.02,0.0,0.11,0.0,0.79,,,,,,,,,,,,,,,,
24,"[804, 177, 82, 91]",0.11,0.0,0.25,0.03,0.53,0.0,0.07,"[320, 121, 78, 111]",0.06,0.0,0.02,0.01,0.08,0.0,0.83,,,,,,,,,,,,,,,,
25,"[807, 87, 77, 100]",0.15,0.0,0.16,0.16,0.2,0.01,0.32,"[313, 34, 85, 106]",0.1,0.0,0.01,0.08,0.08,0.0,0.71,,,,,,,,,,,,,,,,
26,"[810, 110, 82, 102]",0.03,0.0,0.04,0.62,0.04,0.01,0.26,"[303, 62, 78, 101]",0.05,0.0,0.01,0.01,0.08,0.0,0.85,,,,,,,,,,,,,,,,
27,"[816, 144, 84, 105]",0.55,0.0,0.06,0.21,0.03,0.03,0.11,"[308, 87, 87, 112]",0.15,0.0,0.01,0.0,0.13,0.0,0.7,,,,,,,,,,,,,,,,
28,"[308, 128, 86, 109]",0.4,0.0,0.01,0.05,0.07,0.0,0.45,"[811, 188, 81, 97]",0.48,0.0,0.07,0.02,0.14,0.01,0.29,,,,,,,,,,,,,,,,
29,"[313, 117, 88, 111]",0.14,0.0,0.0,0.02,0.04,0.0,0.8,"[805, 179, 81, 95]",0.06,0.0,0.05,0.52,0.12,0.01,0.23,,,,,,,,,,,,,,,,
30,"[816, 174, 77, 95]",0.13,0.0,0.06,0.07,0.25,0.0,0.49,"[326, 124, 79, 110]",0.34,0.0,0.04,0.01,0.12,0.0,0.49,,,,,,,,,,,,,,,,
31,"[858, 171, 80, 99]",0.18,0.0,0.03,0.01,0.45,0.0,0.34,"[337, 118, 79, 108]",0.05,0.0,0.01,0.02,0.1,0.0,0.82,,,,,,,,,,,,,,,,
32,"[854, 195, 77, 97]",0.4,0.01,0.05,0.01,0.45,0.0,0.08,"[334, 122, 79, 107]",0.05,0.0,0.01,0.22,0.04,0.0,0.69,,,,,,,,,,,,,,,,
33,"[338, 116, 82, 108]",0.03,0.0,0.0,0.69,0.02,0.0,0.26,"[845, 163, 85, 101]",0.51,0.0,0.12,0.11,0.16,0.02,0.08,,,,,,,,,,,,,,,,
34,"[337, 110, 83, 113]",0.09,0.0,0.0,0.85,0.01,0.0,0.04,"[827, 176, 85, 97]",0.16,0.0,0.05,0.03,0.24,0.0,0.52,"[278, 600, 22, 21]",0.06,0.13,0.14,0.42,0.11,0.0,0.14,,,,,,,,
35,"[831, 168, 84, 100]",0.28,0.0,0.05,0.07,0.47,0.0,0.13,"[334, 106, 85, 117]",0.01,0.0,0.0,0.88,0.01,0.0,0.1,,,,,,,,,,,,,,,,
36,"[845, 171, 82, 96]",0.29,0.0,0.06,0.01,0.48,0.0,0.15,"[334, 119, 79, 107]",0.07,0.0,0.01,0.08,0.08,0.0,0.77,,,,,,,,,,,,,,,,
37,"[340, 119, 75, 103]",0.02,0.0,0.01,0.77,0.03,0.0,0.16,"[832, 174, 87, 100]",0.15,0.0,0.06,0.02,0.72,0.0,0.05,,,,,,,,,,,,,,,,
38,"[341, 109, 82, 110]",0.0,0.0,0.0,0.9,0.01,0.0,0.08,"[849, 172, 82, 106]",0.5,0.0,0.07,0.01,0.07,0.0,0.34,,,,,,,,,,,,,,,,
39,"[331, 114, 78, 106]",0.01,0.0,0.0,0.62,0.02,0.0,0.36,"[845, 164, 81, 105]",0.07,0.0,0.6,0.01,0.22,0.02,0.08,,,,,,,,,,,,,,,,
40,"[323, 115, 82, 108]",0.06,0.0,0.0,0.61,0.03,0.0,0.3,"[857, 175, 80, 100]",0.45,0.0,0.01,0.08,0.04,0.0,0.42,,,,,,,,,,,,,,,,
41,"[328, 116, 77, 104]",0.04,0.0,0.01,0.35,0.05,0.0,0.54,"[863, 174, 79, 103]",0.35,0.0,0.14,0.15,0.08,0.02,0.26,,,,,,,,,,,,,,,,
42,"[875, 179, 81, 101]",0.44,0.0,0.07,0.06,0.2,0.0,0.23,"[331, 112, 80, 111]",0.07,0.0,0.01,0.57,0.02,0.0,0.32,,,,,,,,,,,,,,,,
43,"[897, 180, 79, 101]",0.21,0.0,0.01,0.51,0.02,0.0,0.24,"[320, 115, 83, 117]",0.04,0.0,0.01,0.01,0.09,0.0,0.85,"[281, 603, 20, 20]",0.08,0.01,0.06,0.76,0.04,0.0,0.06,,,,,,,,
44,"[840, 170, 84, 97]",0.34,0.0,0.38,0.01,0.21,0.03,0.03,"[333, 113, 77, 105]",0.04,0.0,0.0,0.42,0.02,0.0,0.52,,,,,,,,,,,,,,,,
45,"[844, 173, 75, 94]",0.17,0.0,0.11,0.15,0.33,0.0,0.24,"[326, 131, 76, 103]",0.4,0.0,0.16,0.01,0.19,0.01,0.23,,,,,,,,,,,,,,,,
46,"[337, 122, 85, 110]",0.12,0.0,0.01,0.0,0.04,0.0,0.84,"[878, 176, 82, 108]",0.14,0.0,0.07,0.0,0.18,0.0,0.6,,,,,,,,,,,,,,,,
47,"[892, 178, 82, 100]",0.25,0.0,0.1,0.07,0.13,0.0,0.43,"[331, 121, 82, 111]",0.31,0.0,0.01,0.07,0.13,0.0,0.48,"[281, 604, 24, 23]",0.06,0.02,0.14,0.41,0.14,0.01,0.23,,,,,,,,
48,"[848, 177, 82, 96]",0.08,0.0,0.04,0.34,0.06,0.01,0.47,"[345, 115, 83, 110]",0.04,0.0,0.0,0.05,0.02,0.0,0.89,,,,,,,,,,,,,,,,
49,"[848, 172, 80, 98]",0.14,0.0,0.04,0.59,0.05,0.0,0.19,"[343, 115, 80, 108]",0.14,0.0,0.01,0.19,0.04,0.0,0.62,,,,,,,,,,,,,,,,
50,"[849, 177, 79, 90]",0.56,0.0,0.03,0.02,0.29,0.0,0.09,"[343, 107, 78, 114]",0.01,0.0,0.0,0.61,0.01,0.0,0.38,"[282, 604, 23, 24]",0.05,0.29,0.05,0.16,0.21,0.01,0.24,,,,,,,,
51,"[840, 166, 84, 108]",0.83,0.0,0.01,0.12,0.03,0.0,0.01,"[346, 114, 76, 108]",0.11,0.0,0.02,0.09,0.09,0.0,0.7,,,,,,,,,,,,,,,,
52,"[871, 183, 78, 95]",0.44,0.0,0.23,0.06,0.23,0.03,0.02,"[346, 115, 82, 107]",0.0,0.0,0.0,0.97,0.0,0.0,0.02,,,,,,,,,,,,,,,,
53,"[345, 114, 74, 104]",0.02,0.0,0.0,0.15,0.06,0.0,0.77,"[851, 177, 83, 98]",0.33,0.0,0.2,0.06,0.24,0.0,0.17,,,,,,,,,,,,,,,,
54,"[342, 119, 75, 100]",0.07,0.0,0.01,0.21,0.09,0.0,0.62,"[810, 172, 84, 101]",0.5,0.0,0.06,0.3,0.05,0.0,0.09,,,,,,,,,,,,,,,,
55,"[823, 175, 79, 101]",0.32,0.0,0.02,0.31,0.09,0.0,0.26,"[343, 112, 81, 111]",0.03,0.0,0.01,0.46,0.11,0.0,0.39,"[284, 602, 25, 25]",0.09,0.19,0.03,0.11,0.12,0.0,0.46,,,,,,,,
56,"[342, 112, 85, 107]",0.06,0.0,0.0,0.15,0.05,0.0,0.75,"[834, 178, 80, 98]",0.58,0.0,0.02,0.13,0.07,0.0,0.2,,,,,,,,,,,,,,,,
57,"[344, 119, 74, 109]",0.19,0.0,0.02,0.01,0.13,0.0,0.66,"[847, 177, 82, 101]",0.35,0.0,0.03,0.01,0.57,0.0,0.05,,,,,,,,,,,,,,,,
58,"[851, 176, 84, 101]",0.28,0.0,0.01,0.01,0.48,0.0,0.22,"[353, 117, 83, 110]",0.1,0.0,0.03,0.06,0.1,0.0,0.71,"[286, 603, 23, 24]",0.05,0.02,0.02,0.1,0.22,0.0,0.59,,,,,,,,
59,"[350, 117, 83, 109]",0.05,0.0,0.01,0.05,0.06,0.0,0.84,"[858, 176, 82, 107]",0.33,0.0,0.03,0.22,0.1,0.0,0.32,,,,,,,,,,,,,,,,
60,"[872, 175, 80, 103]",0.54,0.0,0.12,0.01,0.21,0.01,0.11,"[335, 122, 78, 110]",0.24,0.0,0.04,0.02,0.25,0.0,0.45,"[287, 604, 20, 20]",0.04,0.0,0.06,0.68,0.03,0.0,0.19,,,,,,,,
61,"[885, 177, 82, 100]",0.23,0.0,0.12,0.19,0.15,0.0,0.3,"[352, 115, 82, 107]",0.02,0.0,0.0,0.56,0.04,0.0,0.38,,,,,,,,,,,,,,,,
62,"[846, 178, 82, 97]",0.27,0.0,0.02,0.41,0.04,0.01,0.26,"[347, 107, 81, 106]",0.19,0.0,0.01,0.03,0.07,0.0,0.7,,,,,,,,,,,,,,,,
63,"[864, 183, 78, 90]",0.66,0.0,0.02,0.0,0.26,0.0,0.06,"[343, 113, 81, 105]",0.06,0.0,0.01,0.01,0.06,0.0,0.87,,,,,,,,,,,,,,,,
64,"[884, 178, 85, 109]",0.42,0.0,0.01,0.22,0.06,0.0,0.28,"[344, 114, 77, 101]",0.09,0.0,0.01,0.13,0.07,0.0,0.7,,,,,,,,,,,,,,,,
65,"[853, 180, 82, 101]",0.09,0.0,0.02,0.61,0.03,0.0,0.25,"[344, 116, 74, 103]",0.02,0.0,0.0,0.51,0.02,0.0,0.45,,,,,,,,,,,,,,,,
66,"[833, 185, 76, 90]",0.05,0.0,0.06,0.01,0.84,0.01,0.04,"[344, 118, 73, 114]",0.29,0.0,0.04,0.03,0.07,0.01,0.56,,,,,,,,,,,,,,,,
67,"[350, 114, 77, 107]",0.13,0.0,0.04,0.03,0.17,0.01,0.62,"[812, 173, 77, 89]",0.15,0.0,0.11,0.01,0.68,0.0,0.06,"[286, 609, 21, 21]",0.02,0.04,0.04,0.62,0.05,0.0,0.23,,,,,,,,
68,"[355, 111, 77, 109]",0.19,0.0,0.03,0.04,0.1,0.0,0.64,"[857, 169, 79, 99]",0.1,0.0,0.01,0.01,0.36,0.0,0.52,,,,,,,,,,,,,,,,
69,"[352, 116, 77, 103]",0.11,0.0,0.02,0.13,0.07,0.0,0.68,"[893, 179, 81, 102]",0.27,0.0,0.05,0.15,0.12,0.0,0.4,,,,,,,,,,,,,,,,
70,"[354, 121, 76, 106]",0.01,0.0,0.0,0.07,0.01,0.0,0.9,"[851, 172, 89, 108]",0.25,0.0,0.09,0.29,0.12,0.01,0.24,,,,,,,,,,,,,,,,
71,"[847, 172, 84, 105]",0.52,0.0,0.04,0.14,0.09,0.01,0.21,"[352, 122, 74, 100]",0.04,0.0,0.02,0.09,0.08,0.0,0.77,,,,,,,,,,,,,,,,
72,"[855, 176, 79, 95]",0.55,0.0,0.03,0.0,0.35,0.0,0.07,"[354, 117, 78, 107]",0.08,0.0,0.02,0.26,0.06,0.0,0.57,"[293, 603, 19, 20]",0.08,0.01,0.07,0.73,0.04,0.0,0.07,,,,,,,,
73,"[353, 117, 77, 107]",0.08,0.0,0.01,0.09,0.05,0.0,0.77,"[861, 173, 78, 100]",0.76,0.0,0.12,0.0,0.08,0.01,0.02,,,,,,,,,,,,,,,,
74,"[860, 174, 83, 103]",0.27,0.0,0.06,0.53,0.08,0.0,0.06,"[357, 101, 75, 99]",0.17,0.0,0.01,0.05,0.21,0.0,0.56,,,,,,,,,,,,,,,,
75,"[884, 177, 80, 102]",0.09,0.0,0.01,0.88,0.01,0.0,0.02,"[350, 99, 81, 104]",0.09,0.0,0.08,0.0,0.43,0.0,0.39,,,,,,,,,,,,,,,,
76,"[873, 170, 80, 97]",0.01,0.0,0.0,0.93,0.0,0.01,0.05,"[346, 100, 80, 106]",0.19,0.0,0.11,0.0,0.3,0.0,0.38,,,,,,,,,,,,,,,,
77,"[853, 172, 82, 97]",0.24,0.0,0.01,0.62,0.04,0.0,0.1,"[339, 104, 80, 108]",0.07,0.0,0.02,0.01,0.24,0.0,0.67,,,,,,,,,,,,,,,,
78,"[332, 112, 85, 107]",0.04,0.0,0.02,0.0,0.09,0.0,0.85,"[838, 172, 78, 91]",0.77,0.0,0.1,0.11,0.01,0.0,0.0,,,,,,,,,,,,,,,,
79,"[862, 175, 79, 98]",0.15,0.0,0.05,0.35,0.15,0.0,0.29,"[338, 113, 79, 113]",0.07,0.0,0.01,0.01,0.05,0.0,0.86,,,,,,,,,,,,,,,,
80,"[345, 116, 77, 107]",0.05,0.0,0.04,0.01,0.15,0.0,0.74,"[898, 174, 80, 100]",0.19,0.0,0.09,0.29,0.16,0.01,0.25,,,,,,,,,,,,,,,,
81,"[879, 175, 77, 102]",0.78,0.0,0.2,0.0,0.01,0.01,0.0,"[337, 135, 72, 98]",0.15,0.0,0.04,0.02,0.23,0.0,0.56,,,,,,,,,,,,,,,,
82,"[347, 134, 72, 97]",0.35,0.0,0.08,0.0,0.32,0.0,0.25,"[815, 175, 84, 103]",0.29,0.0,0.02,0.32,0.13,0.0,0.23,,,,,,,,,,,,,,,,
83,"[853, 163, 85, 109]",0.13,0.0,0.09,0.08,0.09,0.07,0.53,"[350, 127, 71, 104]",0.6,0.0,0.03,0.01,0.12,0.0,0.23,,,,,,,,,,,,,,,,
84,"[878, 176, 80, 104]",0.11,0.0,0.06,0.34,0.02,0.02,0.45,"[344, 131, 73, 100]",0.54,0.0,0.05,0.0,0.24,0.0,0.16,,,,,,,,,,,,,,,,
85,"[856, 175, 82, 102]",0.05,0.0,0.02,0.71,0.06,0.02,0.14,"[346, 132, 69, 97]",0.41,0.0,0.04,0.01,0.39,0.0,0.14,,,,,,,,,,,,,,,,
86,"[341, 133, 72, 96]",0.16,0.0,0.06,0.0,0.5,0.0,0.28,"[833, 168, 82, 98]",0.29,0.0,0.33,0.02,0.29,0.0,0.07,,,,,,,,,,,,,,,,
87,"[839, 173, 82, 98]",0.13,0.0,0.11,0.1,0.12,0.24,0.3,"[349, 119, 85, 114]",0.21,0.0,0.02,0.0,0.25,0.0,0.52,,,,,,,,,,,,,,,,
88,"[882, 185, 77, 102]",0.28,0.0,0.04,0.0,0.11,0.01,0.56,"[333, 113, 87, 111]",0.09,0.0,0.02,0.0,0.14,0.0,0.75,,,,,,,,,,,,,,,,
89,"[322, 102, 85, 107]",0.21,0.0,0.02,0.02,0.08,0.0,0.66,"[861, 174, 82, 96]",0.13,0.0,0.32,0.02,0.35,0.02,0.16,,,,,,,,,,,,,,,,
90,"[324, 104, 86, 108]",0.11,0.0,0.08,0.0,0.3,0.0,0.5,"[840, 182, 81, 102]",0.22,0.0,0.29,0.04,0.08,0.24,0.13,,,,,,,,,,,,,,,,
91,"[853, 168, 82, 102]",0.13,0.0,0.08,0.02,0.46,0.0,0.31,"[335, 107, 84, 109]",0.03,0.0,0.01,0.0,0.07,0.0,0.88,,,,,,,,,,,,,,,,
92,"[347, 108, 79, 108]",0.13,0.0,0.01,0.01,0.09,0.0,0.76,"[867, 174, 76, 96]",0.71,0.0,0.15,0.02,0.06,0.03,0.03,,,,,,,,,,,,,,,,
93,"[352, 108, 83, 108]",0.17,0.0,0.02,0.0,0.14,0.0,0.67,"[886, 172, 75, 94]",0.49,0.0,0.1,0.01,0.34,0.0,0.07,,,,,,,,,,,,,,,,
94,"[894, 165, 79, 103]",0.12,0.0,0.03,0.0,0.71,0.01,0.13,"[330, 105, 87, 112]",0.2,0.0,0.04,0.0,0.25,0.0,0.51,,,,,,,,,,,,,,,,
95,"[879, 171, 83, 98]",0.57,0.0,0.17,0.17,0.03,0.01,0.05,"[316, 110, 81, 103]",0.12,0.0,0.01,0.0,0.06,0.0,0.81,,,,,,,,,,,,,,,,
96,"[362, 105, 80, 105]",0.21,0.0,0.04,0.0,0.13,0.0,0.61,"[858, 168, 80, 97]",0.13,0.0,0.02,0.32,0.19,0.0,0.34,"[299, 601, 22, 22]",0.04,0.01,0.08,0.59,0.03,0.0,0.26,,,,,,,,
97,"[352, 111, 83, 112]",0.56,0.0,0.01,0.01,0.07,0.0,0.34,"[825, 187, 86, 101]",0.39,0.0,0.13,0.03,0.4,0.0,0.05,,,,,,,,,,,,,,,,
98,"[338, 106, 84, 110]",0.46,0.0,0.01,0.0,0.12,0.0,0.41,"[853, 165, 81, 98]",0.09,0.0,0.07,0.01,0.63,0.0,0.2,,,,,,,,,,,,,,,,
99,"[338, 115, 83, 111]",0.71,0.0,0.01,0.01,0.1,0.0,0.17,"[844, 175, 77, 100]",0.58,0.0,0.1,0.3,0.0,0.01,0.0,,,,,,,,,,,,,,,,
100,"[849, 171, 76, 98]",0.27,0.0,0.28,0.15,0.15,0.01,0.14,"[337, 105, 84, 111]",0.17,0.0,0.0,0.02,0.06,0.0,0.75,,,,,,,,,,,,,,,,
101,"[850, 174, 76, 92]",0.27,0.0,0.06,0.01,0.57,0.0,0.1,"[351, 122, 75, 107]",0.49,0.0,0.03,0.03,0.14,0.0,0.3,,,,,,,,,,,,,,,,
102,"[832, 173, 80, 100]",0.46,0.0,0.25,0.1,0.13,0.01,0.05,"[340, 124, 73, 103]",0.51,0.0,0.06,0.01,0.14,0.01,0.27,,,,,,,,,,,,,,,,
103,"[812, 169, 85, 103]",0.36,0.0,0.02,0.08,0.08,0.0,0.46,"[326, 128, 71, 100]",0.29,0.0,0.15,0.0,0.21,0.01,0.34,,,,,,,,,,,,,,,,
104,"[832, 173, 80, 96]",0.17,0.0,0.07,0.03,0.59,0.0,0.15,"[319, 136, 71, 94]",0.17,0.0,0.1,0.0,0.22,0.01,0.5,,,,,,,,,,,,,,,,
105,"[324, 125, 80, 107]",0.3,0.0,0.02,0.02,0.13,0.0,0.53,"[834, 172, 86, 104]",0.17,0.0,0.07,0.05,0.34,0.0,0.37,,,,,,,,,,,,,,,,
106,"[294, 110, 84, 103]",0.15,0.0,0.01,0.0,0.19,0.0,0.64,"[851, 176, 83, 100]",0.27,0.0,0.01,0.58,0.03,0.0,0.1,,,,,,,,,,,,,,,,
107,"[284, 106, 87, 105]",0.18,0.0,0.01,0.0,0.07,0.0,0.73,"[841, 196, 79, 100]",0.09,0.0,0.04,0.4,0.07,0.01,0.4,,,,,,,,,,,,,,,,
108,"[305, 107, 89, 111]",0.06,0.0,0.01,0.01,0.04,0.0,0.89,"[839, 173, 80, 96]",0.19,0.0,0.08,0.22,0.14,0.0,0.37,,,,,,,,,,,,,,,,
109,"[833, 161, 84, 98]",0.33,0.0,0.1,0.04,0.42,0.0,0.1,"[307, 106, 82, 109]",0.06,0.0,0.01,0.01,0.13,0.0,0.79,,,,,,,,,,,,,,,,
